Geography Name,County FIPS,County Name,Place FIPS,Total Population,Population Density (Per Sq. Mile),Area (Land),Living in Poverty,At or Above Poverty Level,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk,Application Number,Project Title,Project Description ,Applicant,Applicant Type,Project Type,Application Date,State Agency Requested for Funding,Funding Request ($),Total Project Budget ($),Funding Decision Year,Award Date,Grant Award ($),Encumbered ($),City/Town
Newland town,11,Avery,3746740,710,949.5,0.75,34,84,408,66,342,139,21,118,56,0.63,4.54,15.52,20.07,,,,,,,,,,,,,,,
New London town,167,Stanly,3746820,640,324,1.98,11,106,428,39,389,95,0,95,64,0.36,0,0.7,0.7,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Newport town,31,Carteret,3746860,4610,605.2,7.62,0,819,2737,223,2514,666,28,638,81,0.54,1,10.98,11.98,,,,,,,,,,,,,,,
Newton city,35,Catawba,3747000,13106,950,13.8,293,2451,7397,877,6520,2437,128,2309,68,0.61,0.51,6.87,7.38,,,,,,,,,,,,,,,
Newton Grove town,163,Sampson,3747020,616,199.9,3.08,21,54,366,37,329,175,3,172,46,0.71,0.64,5.96,6.6,9,Clinton Weeks Street Hazard Mitigation Project 2022,"The City of Clinton experiences frequent flooding along Weeks Street, including three major flooding events in 2021. During flooding events along Weeks Street, emergency vehicles are unable to access residences and surrounding roads (including Highway 24) are overtopped. A 2020 preliminary drainage feasibility study found that flooding is likely caused by an undersized pipe system with minimal elevation change. Currently, the existing drainage route runs along Weeks Street into the drainage route from Smithfield Packing Company. Golden LEAF flood mitigation grant funds will be used to reroute the existing drainage system into a separate path to cross Highway 24 and into an existing farm ditch. Additional curb inlets and reinforced concrete pipe will be installed to support the design. City and other funds will be used to improve the existing farm ditch which currently collects runoff. Households in the project area and vehicles traveling on adjacent roads will benefit from this project.",Town of Clinton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Clinton
Norlina town,185,Warren,3747240,1197,1075.8,1.11,16,177,652,67,585,352,44,308,46,0.72,,,,,,,,,,,,,,,,,,
Norman town,153,Richmond,3747260,197,350.5,0.56,60,6,99,29,70,32,3,29,57,0.75,,,,,,,,,,,,,,,,,,
Northchase CDP,129,New Hanover,3747485,4987,2898.9,1.72,385,907,2824,490,2334,663,11,652,,0.43,1.79,5.4,7.19,,,,,,,,,,,,,,,
Northlakes CDP,27,Caldwell,3747695,1304,874,1.49,0,336,707,0,707,261,30,231,65,0.27,0.09,23.97,24.06,,,,,,,,,,,,,,,
North Topsail Beach town,141,Pender,3747845,849,136.5,6.22,12,35,489,76,413,313,33,280,57,0.07,0,98.72,98.72,3,Surf City South Shore Flood Mitigation Project,"The 2200 block of South Shore Drive in Surf City experiences flooding on the roadway due to insufficient stormwater infrastructure. Stormwater runoff is trapped on the road by higher elevation of driveways serving houses along the road. Heavy rainfall causes flooding that obstructs passage of vehicles, including public safety vehicles. This road is the only way in and out of southern Surf City and serves the entirety of Topsail Beach. A feasibility study of the overall stormwater issues along South Shore Drive developed a specific solution to address the issue. Golden LEAF flood mitigation grant funds will be used to install a catch basin with drain pipe to convey stormwater to a new infiltration chamber system that collects and releases stormwater back into native soils. Once completed, the town’s utilities staff will maintain the system. The project will directly serve households, and public and private entities.",Town of Surf City,Local Government,Infrastructure,2/25/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Surf City
Northwest city,19,Brunswick,3747860,778,108.5,7.17,33,89,481,74,407,175,17,158,56,0.54,0,1.89,1.89,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
North Wilkesboro town,193,Wilkes,3747880,4139,624.4,6.63,354,461,2304,495,1809,652,185,467,67,0.81,5.91,12.09,18,,,,,,,,,,,,,,,
Norwood town,167,Stanly,3747980,2831,623.9,4.54,103,500,1858,265,1593,363,9,354,68,0.48,0.23,1.98,2.21,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Oakboro town,167,Stanly,3748040,2214,892.9,2.48,24,437,1382,79,1303,371,14,357,72,0.22,0,0.12,0.12,20,Little Long Creek 2 Watershed Plan,"The City of Albemarle has experienced flooding issues related to aging infrastructure and growth within the city. Golden LEAF flood mitigation grant funds will be used for a watershed study for the Little Long Creek 2 sub-basin. Components of this study include field investigation, stormwater inventory, H&H modeling, analysis of secondary systems, and the development of a watershed master plan. With the development of the master plan, the city plans to perform cost benefit analysis and priority rankings to aid staff in its implementation. Once completed, the city will be able to prioritize projects to undertake along this watershed. The city plans to fund these projects through an enterprise fund with the development of a stormwater management program and anticipates collecting fees for this program beginning in January 2023. In this project area there are households, businesses, and other public and private entities that will benefit from the completion of this project. ",City of Albemarle,Local Government,Planning,6/15/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,10/6/22,250000,250000,Albemarle
Oak City town,117,Martin,3748060,368,366.9,1,14,24,203,11,192,127,10,117,45,0.69,0,0.01,0.01,,,,,,,,,,,,,,,
Oak Island town,19,Brunswick,3748345,8118,421.3,19.27,14,696,4398,380,4018,3005,272,2733,82,0.33,6.36,28.6,34.96,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Oak Ridge town,81,Guilford,3748480,6979,423.8,16.47,58,2021,4018,166,3852,882,60,822,86,0.12,1.37,5.8,7.18,,,,,,,,,,,,,,,
Ocean Isle Beach town,19,Brunswick,3748700,743,198.6,3.74,3,38,296,22,274,406,5,401,65,0.11,2.18,70.75,72.93,13,"Holly, Walnut and Redwood Stormwater Project","Boiling Spring Lakes experiences flooding several times a year along Holly, Walnut, and Redwood roads. In 2014, a preliminary engineering report was conducted along these roads to determine optimal solutions to reduce flooding in the area. A 2021 stormwater management master plan prioritized this project. When flooding occurs in this area, homes experience flooding for multiple days. Boiling Spring Lakes will use Golden LEAF flood mitigation grant funds to install stormwater infrastructure along the areas of Holly, Walnut, and Redwood roads. Project activities include digging approximately 3,000 linear feet of drainage ditches with the installation of driveway pipes and several spans of reinforced concrete pipe. Households in the project area will benefit from this project.",City of Boiling Springs Lakes,Local Government,Infrastructure,5/9/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,8/4/22,250000,250000,Boiling Springs Lakes
Ocracoke CDP,95,Hyde,3748740,973,113.1,8.6,0,342,504,35,469,126,57,69,45,0.67,1.08,87.3,88.39,,,,,,,,,,,,,,,
Ogden CDP,129,New Hanover,3748790,9071,2000.5,4.53,42,2082,5173,79,5094,1774,93,1681,66,0.11,8.1,30.96,39.06,,,,,,,,,,,,,,,
Old Fort town,111,McDowell,3748920,743,608.6,1.22,42,87,443,67,376,171,44,127,54,0.61,4.03,12.34,16.38,,,,,,,,,,,,,,,
Old Hundred CDP,165,Scotland,3748940,545,561.4,0.97,141,19,300,138,162,85,8,77,,0.73,,,,,,,,,,,,,,,,,,
Oriental town,137,Pamlico,3749380,1136,794.4,1.43,0,88,438,62,376,605,11,594,63,0.24,12.72,74.46,87.18,,,,,,,,,,,,,,,
Orrum town,155,Robeson,3749460,63,131.7,0.48,2,2,40,5,35,19,2,17,51,0.78,0,6.99,6.99,4,Flood Mitigation for the Linkhaw Road Area,"Lumberton, specifically in the area of Linkhaw Road, experiences flooding in any 2-inch or greater rain event. The city completed several studies to develop strategies to resolve flooding throughout the city. This project area is part of its existing studies and is located along a major thoroughfare that is in a 518-acre drainage area. The specific project site is at the downstream end of a drainage ditch that has larger pipes upstream. Due to the undersized existing piping, this project site creates a bottleneck for stormwater flow. Golden LEAF flood mitigation grant funds will be used to upsize the capacity of stormwater at the juncture of Linkhaw Rd and the railroad. The applicant proposes to install stormwater infrastructure to increase the capacity of the flow under the railroad which will require widening the canal to accommodate it. The stormwater will flow into a culvert downstream and into an existing impoundment area. Once the infrastructure work is completed, the city will be able to utilize the road more reliably for emergency services. There are households, public and private entities (including a kidney dialysis center), and a nursing facility in the immediate project area.",City of Lumberton,Local Government,Infrastructure,2/28/22,Golden LEAF Foundation Flood Mitigation Program,,,2022,6/2/22,250000,250000,Lumberton
